name,type,annotation_Phylum,annotation_Genus
s__GGB2958_SGB3940,Microbiome,Firmicutes,GGB2958
s__GGB2977_SGB3959,Microbiome,Firmicutes,GGB2977
s__GGB2980_SGB3962,Microbiome,Firmicutes,GGB2980
s__GGB2998_SGB3988,Microbiome,Firmicutes,GGB2998
s__GGB2998_SGB3989,Microbiome,Firmicutes,GGB2998
s__GGB2999_SGB3990,Microbiome,Firmicutes,GGB2999
s__GGB3001_SGB3992,Microbiome,Firmicutes,GGB3001
s__GGB3002_SGB3993,Microbiome,Firmicutes,GGB3002
s__GGB3033_SGB4029,Microbiome,Firmicutes,GGB3033
s__GGB3057_SGB4059,Microbiome,Firmicutes,GGB3057
s__GGB3146_SGB4159,Microbiome,Firmicutes,GGB3146
s__GGB3175_SGB4191,Microbiome,Firmicutes,GGB3175
s__GGB32387_SGB47381,Microbiome,Firmicutes,GGB32387
s__GGB3256_SGB4303,Microbiome,Firmicutes,GGB3256
s__GGB3345_SGB4425,Microbiome,Firmicutes,GGB3345
s__GGB3352_SGB62935,Microbiome,Firmicutes,GGB3352
s__GGB3446_SGB4597,Microbiome,Firmicutes,GGB3446
s__GGB3478_SGB4643,Microbiome,Firmicutes,GGB3478
s__GGB3486_SGB4658,Microbiome,Firmicutes,GGB3486
s__GGB35068_SGB47850,Microbiome,Firmicutes,GGB35068
s__GGB3550_SGB4746,Microbiome,Firmicutes,GGB3550
s__GGB3569_SGB4776,Microbiome,Firmicutes,GGB3569
s__GGB3585_SGB4803,Microbiome,Firmicutes,GGB3585
s__GGB3627_SGB4906,Microbiome,Firmicutes,GGB3627
s__GGB3816_SGB5181,Microbiome,Firmicutes,GGB3816
s__GGB3817_SGB5182,Microbiome,Firmicutes,GGB3817
s__GGB3818_SGB5183,Microbiome,Firmicutes,GGB3818
s__GGB3828_SGB5197,Microbiome,Firmicutes,GGB3828
s__GGB41473_SGB58537,Microbiome,Firmicutes,GGB41473
s__GGB42711_SGB59916,Microbiome,Firmicutes,GGB42711
s__GGB43675_SGB61016,Microbiome,Firmicutes,GGB43675
s__GGB45432_SGB63101,Microbiome,Actinobacteria,GGB45432
s__GGB45491_SGB63163,Microbiome,Firmicutes,GGB45491
s__GGB45497_SGB63169,Microbiome,Firmicutes,GGB45497
s__GGB4564_SGB6302,Microbiome,Firmicutes,GGB4564
s__GGB4569_SGB6310,Microbiome,Firmicutes,GGB4569
s__GGB4596_SGB6358,Microbiome,Firmicutes,GGB4596
s__GGB4683_SGB6473,Microbiome,Firmicutes,GGB4683
s__GGB4684_SGB6478,Microbiome,Firmicutes,GGB4684
s__GGB4750_SGB6579,Microbiome,Tenericutes,GGB4750
s__GGB47687_SGB2286,Microbiome,Bacteroidota,GGB47687
s__GGB51647_SGB4348,Microbiome,Firmicutes,GGB51647
s__GGB51959_SGB72479,Microbiome,Actinobacteria,GGB51959
s__GGB6006_SGB8630,Microbiome,Candidatus_Melainabacteria,GGB6006
s__GGB6512_SGB9198,Microbiome,Lentisphaerae,GGB6512
s__GGB74511_SGB47635,Microbiome,Firmicutes,GGB74511
s__GGB9061_SGB13979,Microbiome,Firmicutes,GGB9061
s__GGB9063_SGB13982,Microbiome,Firmicutes,GGB9063
s__GGB9176_SGB14114,Microbiome,Firmicutes,GGB9176
s__GGB9186_SGB14125,Microbiome,Firmicutes,GGB9186
s__GGB9211_SGB14151,Microbiome,Firmicutes,GGB9211
s__GGB9293_SGB14250,Microbiome,Firmicutes,GGB9293
s__GGB9301_SGB14262,Microbiome,Firmicutes,GGB9301
s__GGB9342_SGB14306,Microbiome,Firmicutes,GGB9342
s__GGB9412_SGB14770,Microbiome,Actinobacteria,GGB9412
s__GGB9480_SGB14874,Microbiome,Firmicutes,GGB9480
s__GGB9491_SGB14888,Microbiome,Firmicutes,GGB9491
s__GGB9495_SGB14892,Microbiome,Firmicutes,GGB9495
s__GGB9502_SGB14899,Microbiome,Firmicutes,GGB9502
s__GGB9523_SGB14922,Microbiome,Firmicutes,GGB9523
s__GGB9531_SGB14932,Microbiome,Firmicutes,GGB9531
s__GGB9547_SGB14953,Microbiome,Firmicutes,GGB9547
s__GGB9547_SGB14954,Microbiome,Firmicutes,GGB9547
s__GGB9551_SGB14958,Microbiome,Firmicutes,GGB9551
s__GGB9561_SGB14972,Microbiome,Firmicutes,GGB9561
s__GGB9583_SGB15004,Microbiome,Firmicutes,GGB9583
s__GGB9597_SGB15022,Microbiome,Firmicutes,GGB9597
s__GGB9608_SGB15041,Microbiome,Firmicutes,GGB9608
s__GGB9611_SGB15045,Microbiome,Firmicutes,GGB9611
s__GGB9613_SGB15048,Microbiome,Firmicutes,GGB9613
s__GGB9619_SGB15067,Microbiome,Firmicutes,GGB9619
s__GGB9620_SGB15068,Microbiome,Firmicutes,GGB9620
s__GGB9621_SGB15073,Microbiome,Firmicutes,GGB9621
s__GGB9627_SGB15081,Microbiome,Firmicutes,GGB9627
s__GGB9635_SGB15106,Microbiome,Firmicutes,GGB9635
s__GGB9641_SGB15117,Microbiome,Firmicutes,GGB9641
s__GGB9667_SGB15164,Microbiome,Firmicutes,GGB9667
s__GGB9694_SGB15207,Microbiome,Firmicutes,GGB9694
s__GGB9695_SGB15209,Microbiome,Firmicutes,GGB9695
s__GGB9712_SGB15244,Microbiome,Firmicutes,GGB9712
s__GGB9715_SGB15260,Microbiome,Firmicutes,GGB9715
s__GGB9715_SGB15265,Microbiome,Firmicutes,GGB9715
s__GGB9715_SGB15267,Microbiome,Firmicutes,GGB9715
s__GGB9719_SGB53514,Microbiome,Firmicutes,GGB9719
s__GGB9747_SGB15356,Microbiome,Firmicutes,GGB9747
s__GGB9759_SGB15370,Microbiome,Firmicutes,GGB9759
s__GGB9760_SGB15373,Microbiome,Firmicutes,GGB9760
s__GGB9762_SGB15377,Microbiome,Firmicutes,GGB9762
s__GGB9766_SGB15383,Microbiome,Firmicutes,GGB9766
s__GGB9770_SGB15389,Microbiome,Firmicutes,GGB9770
s__GGB9770_SGB15390,Microbiome,Firmicutes,GGB9770
s__GGB9778_SGB15398,Microbiome,Firmicutes,GGB9778
s__GGB9790_SGB15413,Microbiome,Firmicutes,GGB9790
s__GGB9818_SGB15459,Microbiome,Proteobacteria,GGB9818
s__Guopingia_tenuis,Microbiome,Firmicutes,Guopingia
s__Holdemanella_biformis,Microbiome,Firmicutes,Holdemanella
s__Intestinimonas_gabonensis,Microbiome,Firmicutes,Intestinimonas
s__Jingyaoa_shaoxingensis,Microbiome,Firmicutes,Jingyaoa
s__Lachnoclostridium_SGB4602,Microbiome,Firmicutes,Lachnoclostridium
s__Lachnospira_pectinoschiza,Microbiome,Firmicutes,Lachnospira
s__Lachnospiraceae_bacterium,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Lachnospiraceae_bacterium_AM48_27BH,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Lachnospiraceae_bacterium_CLA_AA_H215,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Lachnospiraceae_bacterium_CLA_AA_H244,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Lachnospiraceae_bacterium_OF09_6,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Lachnospiraceae_unclassified_SGB4708,Microbiome,Firmicutes,Lachnospiraceae_unclassified
s__Lachnotalea_sp_AF33_28,Microbiome,Firmicutes,Lachnotalea
s__Lacrimispora_amygdalina,Microbiome,Firmicutes,Lacrimispora
s__Lactobacillus_delbrueckii,Microbiome,Firmicutes,Lactobacillus
s__Lentihominibacter_faecis,Microbiome,Firmicutes,Lentihominibacter
s__Longibaculum_muris,Microbiome,Firmicutes,Longibaculum
s__Longicatena_caecimuris,Microbiome,Firmicutes,Longicatena
s__Mediterraneibacter_sp_NSJ_151,Microbiome,Firmicutes,Mediterraneibacter
s__Merdimonas_faecis,Microbiome,Firmicutes,Merdimonas
s__Mesosutterella_multiformis,Microbiome,Proteobacteria,Mesosutterella
s__Methanobrevibacter_smithii,Microbiome,Euryarchaeota,Methanobrevibacter
s__Muribaculum_gordoncarteri,Microbiome,Bacteroidota,Muribaculum
s__Muribaculum_intestinale,Microbiome,Bacteroidota,Muribaculum
s__Neglectibacter_timonensis,Microbiome,Firmicutes,Neglectibacter
s__Oscillibacter_sp_MSJ_31,Microbiome,Firmicutes,Oscillibacter
s__Oscillospiraceae_bacterium,Microbiome,Firmicutes,Oscillospiraceae_unclassified
s__Oscillospiraceae_bacterium_CLA_AA_H250,Microbiome,Firmicutes,Oscillospiraceae_unclassified
s__Oscillospiraceae_bacterium_Marseille_Q3528,Microbiome,Firmicutes,Oscillospiraceae_unclassified
s__Parabacteroides_distasonis,Microbiome,Bacteroidota,Parabacteroides
s__Parabacteroides_goldsteinii,Microbiome,Bacteroidota,Parabacteroides
s__Paraprevotella_clara,Microbiome,Bacteroidota,Paraprevotella
s__Parasutterella_excrementihominis,Microbiome,Proteobacteria,Parasutterella
s__Parasutterella_SGB9260,Microbiome,Proteobacteria,Parasutterella
s__Phascolarctobacterium_faecium,Microbiome,Firmicutes,Phascolarctobacterium
s__Phocaeicola_vulgatus,Microbiome,Bacteroidota,Phocaeicola
s__Prevotella_marseillensis,Microbiome,Bacteroidota,Prevotella
s__Prevotella_stercorea,Microbiome,Bacteroidota,Prevotella
s__Raoultibacter_timonensis,Microbiome,Actinobacteria,Raoultibacter
s__Roseburia_faecis,Microbiome,Firmicutes,Roseburia
s__Roseburia_sp_AM59_24XD,Microbiome,Firmicutes,Roseburia
s__Roseburia_sp_BX1005,Microbiome,Firmicutes,Roseburia
s__Ruminococcus_torques,Microbiome,Firmicutes,Mediterraneibacter
s__Ruthenibacterium_lactatiformans,Microbiome,Firmicutes,Ruthenibacterium
s__Schaalia_SGB17153,Microbiome,Actinobacteria,Schaalia
s__Schaalia_SGB17154,Microbiome,Actinobacteria,Schaalia
s__Schaalia_SGB17157,Microbiome,Actinobacteria,Schaalia
s__Schaalia_SGB17168,Microbiome,Actinobacteria,Schaalia
s__Segatella_brunsvicensis,Microbiome,Bacteroidota,Segatella
s__Segatella_copri,Microbiome,Bacteroidota,Segatella
s__Sellimonas_intestinalis,Microbiome,Firmicutes,Sellimonas
s__Streptococcus_mutans,Microbiome,Firmicutes,Streptococcus
s__Streptococcus_thermophilus,Microbiome,Firmicutes,Streptococcus
s__Sutterella_sp_AM11_39,Microbiome,Proteobacteria,Sutterella
s__Sutterella_wadsworthensis,Microbiome,Proteobacteria,Sutterella
s__Veillonella_rogosae,Microbiome,Firmicutes,Veillonella
s__Vescimonas_coprocola,Microbiome,Firmicutes,Vescimonas
s__Vescimonas_SGB15087,Microbiome,Firmicutes,Vescimonas
s__Yanshouia_hominis,Microbiome,Firmicutes,Yanshouia
TNFa,cytokine,TNFa,TNFa
