Sample_ID,Phylum,Genus,galactan,pectin,xylan,alpha-glucan,arabinogalactan,beta-glucan,host glycan,fructan,Hostglycan_ratio,Category,Placebo_M0_OA05,Placebo_M0_OA06,Placebo_M0_OA09,Placebo_M0_OA10,Placebo_M0_OA13,Placebo_M0_OA20,Placebo_M0_OA23,Placebo_M0_OA24,Placebo_M0_OA25,Placebo_M0_OA29,Placebo_M0_OA33,Placebo_M0_OA34,Placebo_M0_OA36,Placebo_M0_OA37,Placebo_M0_OA42,Placebo_M0_OA44,Placebo_M0_OA45,Placebo_M3_OA05,Placebo_M3_OA06,Placebo_M3_OA09,Placebo_M3_OA10,Placebo_M3_OA13,Placebo_M3_OA20,Placebo_M3_OA23,Placebo_M3_OA24,Placebo_M3_OA25,Placebo_M3_OA29,Placebo_M3_OA33,Placebo_M3_OA34,Placebo_M3_OA36,Placebo_M3_OA37,Placebo_M3_OA42,Placebo_M3_OA45,Placebo_M6_OA05,Placebo_M6_OA06,Placebo_M6_OA09,Placebo_M6_OA10,Placebo_M6_OA13,Placebo_M6_OA20,Placebo_M6_OA23,Placebo_M6_OA24,Placebo_M6_OA25,Placebo_M6_OA29,Placebo_M6_OA33,Placebo_M6_OA34,Placebo_M6_OA36,Placebo_M6_OA37,Placebo_M6_OA44,Prebiotic_M0_OA01,Prebiotic_M0_OA04,Prebiotic_M0_OA08,Prebiotic_M0_OA12,Prebiotic_M0_OA19,Prebiotic_M0_OA22,Prebiotic_M0_OA26,Prebiotic_M0_OA28,Prebiotic_M0_OA30,Prebiotic_M0_OA35,Prebiotic_M0_OA39,Prebiotic_M0_OA40,Prebiotic_M0_OA50,Prebiotic_M3_OA01,Prebiotic_M3_OA04,Prebiotic_M3_OA08,Prebiotic_M3_OA12,Prebiotic_M3_OA19,Prebiotic_M3_OA22,Prebiotic_M3_OA26,Prebiotic_M3_OA28,Prebiotic_M3_OA30,Prebiotic_M3_OA35,Prebiotic_M3_OA39,Prebiotic_M3_OA40,Prebiotic_M3_OA50,Prebiotic_M6_OA01,Prebiotic_M6_OA04,Prebiotic_M6_OA08,Prebiotic_M6_OA12,Prebiotic_M6_OA19,Prebiotic_M6_OA26,Prebiotic_M6_OA28,Prebiotic_M6_OA30,Prebiotic_M6_OA35,Prebiotic_M6_OA39
Li32145_S22_Metabat2_binout.55,Firmicutes,Alectryocaccomicrobium,2,1,1,2,4,0,1,0,0.09,Generlist,614.2842723,0,0,1025.963232,0,0,0,0,0,0,0,55.50894566,0,0,0,0,0,1085.209702,0,0,1272.630633,0,0,0,0,0,0,0,319.2666432,0,0,0,0,586.3816036,0,0,1339.232529,40.089319,0,0,0,0,0,0,61.94347658,0,0,0,0,0,0,1530.952889,0,0,0,0,153.7269563,0,0,0,162.3522331,0,0,0,450.6574634,0,0,0,0,38.41110478,0,0,0,110.5598286,0,0,0,845.3768534,0,0,0,33.64167381,0,0
Li32125_S2_Metabat2_binout.60,Bacteroidota,Alistipes,2,1,2,1,0,1,10,0,0.53,Generlist,126.8944037,32665.68039,3749.739235,62.30009292,4534.502529,0,17074.63364,165.5739177,0,1966.994873,2581.863555,1376.621852,2891.541654,3489.365376,0,107.3340678,3402.3882,1018.304049,4165.784085,15734.07157,0,6432.418232,0,45609.30515,123.4800341,0,3850.302273,1052.142762,1673.887866,8659.737213,5996.3455,0,1048.352042,222.1781616,15931.39349,20154.97196,0,4428.533439,0,753.5003798,1222.692987,0,3569.917033,2494.948563,2100.446978,42.79150375,4504.351399,45.78293395,291.9455459,2220.533945,26180.52144,4060.243564,597.074903,247.7830117,0,493.2724921,2828.575996,21.45741121,1261.796805,280.2780424,455.3782147,314.6792227,497.7360122,19778.03936,6167.896639,1364.547079,695.4140702,0,1572.18983,307.2888383,2845.361819,340.9279651,0,9835.729934,386.5440256,0,14750.58323,1751.046138,749.8437261,0,1469.080707,2905.643827,1351.550597,2945.096853
Li32128_S5_Metabat2_binout.98,Bacteroidota,Alistipes,1,2,1,1,0,1,4,0,0.33,Generlist,520.5554514,15293.71119,1744.156876,58.32349124,442.2314031,361.9885035,17604.72053,117.767364,0,0,0,2510.590314,1196.642775,0,2308.932741,383.3767367,973.1953754,1124.014982,5925.651345,4681.143384,0,784.1849468,948.0175554,48781.35418,316.6468202,0,0,0,2031.931835,3556.232141,0,1154.398243,538.4648937,1289.477052,10365.14713,5061.364012,0,356.7949391,0,1762.69679,1509.527525,0,0,0,4752.754021,29.41915883,0,1251.836223,0,4418.914675,12830.41065,5236.540425,842.8043964,37.50229367,0,152.2767324,2362.475865,123.9761537,2865.075026,2116.314819,805.1614811,0,7062.162962,9456.773819,7713.371669,3287.824834,2040.06237,0,334.0732943,4688.803825,5978.742843,1395.764917,0,8485.808076,0,0,11923.58798,5729.063774,1186.461592,0,726.0619234,6911.494986,2516.858815,2820.134651
Li32143_S20_Metabat2_binout.55,Bacteroidota,Alistipes,0,0,0,0,0,0,1,0,1,Specilist,507.5776147,558.0999796,6371.916038,623.0009292,1249.727682,232.8141827,50820.25678,464.0733749,0,0,0,24679.27724,5301.389734,83.26368994,12287.15007,2067.322656,2465.630717,4657.971608,432.4648733,26335.88781,3835.700509,3353.47432,327.9208265,48065.60067,2309.443411,0,18021.04588,0,3232.736335,16258.84379,79.95127333,7824.254757,1418.358645,3027.528999,418.7075097,12626.12118,4082.057434,3339.440273,0,2464.316816,3011.762647,0,6634.644453,0,15397.17735,92.26917995,2608.326843,1827.393107,0,70.36903346,0,7402.340225,0,270.5522615,0,7521.429371,8046.683802,326.6294818,0,5400.311082,224.3892652,0,203.3607136,0,7700.641232,6548.652177,5685.553316,0,13649.28031,11100.80928,7179.046134,0,0,4193.083869,0,0,0,5512.267586,11791.39429,0,12406.25554,8325.691274,3708.034031,0
Li32143_S20_Metabat2_binout.6,Bacteroidota,Alistipes,1,1,1,1,2,0,9,0,0.5,Generlist,2907.035429,1358.929157,357.8096242,1227.444384,881.8537714,3869.221514,1614.576579,243.6968225,0,0,0,28076.42472,941.3037747,9717.181,11389.40258,1946.857293,821.3708239,13802.63635,631.9282638,2307.66383,19353.84885,1112.570603,9076.102498,4015.679087,509.8136063,0,0,0,30201.07336,3208.630503,10079.67508,4368.26601,475.2930347,3027.528999,772.4726302,5711.987706,3375.468492,613.3665807,125.1142141,631.2109739,9057.165151,0,0,0,45258.15648,0,7700.844861,0,0,1879.113819,0,20860.33747,630.5110975,411.1858627,3655.979031,3620.802303,254.5718397,0,298.6048264,285.4524063,4610.539432,0,560.3085394,0,9065.344059,1473.710846,607.1290808,13496.16885,8373.649389,243.7118372,1496.360241,1000.929539,56.30496309,53749.82085,0,0,0,3549.55653,1258.327265,7485.609217,20793.73521,493.4112159,420.3387025,3997.247746
Li32146_S23_Maxbin2out.043,Bacteroidota,Alistipes,1,3,2,0,2,3,3,0,0.21,Generlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212.49828,0,0,0,0,621.0569036,0,0,0,0,0,0,0,3612.897969,0,0,0,0,1123.193685,0,0,0,0,0,0,0,2548.958737,0,0,0,452.2936146,0,0
Li32151_S28_Metabat2_binout.121,Bacteroidota,Alistipes,0,0,0,1,0,1,1,0,0.33,Generlist,0,0,0,0,0,0,1689.145377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9530.376918,0,0,0,0,0,0,0,282.4664868,0,0,0,0,9226.685864,0,0,0,0,0,0,0,7296.948685,0,0,0,0,17193.52341,0,0,0,0,0
Li32183_S60_Metabat2_binout.89,Bacteroidota,Alistipes,0,3,0,0,0,0,2,0,0.33,Generlist,269.6506078,0,843.6913278,0,435.7088161,0,0,0,0,0,0,6657.90154,0,548.9235855,677.9223295,326.2841475,1005.078531,3859.118103,187.1072513,2963.07875,0,1941.415999,0,0,0,0,0,0,3542.954936,0,165.7171847,959.8367413,1076.929787,1771.800529,0,3735.700282,0,688.1999762,0,143.2885968,0,0,0,0,4504.980115,0,499.498285,0,0,0,2234.209304,4028.690537,1279.067126,28.12672025,0,0,4680.678366,51.25937123,0,539.8586294,161.0322962,0,0,5194.925338,7570.790777,4022.6261,664.1747662,0,0,3161.63128,6525.30952,134.0400547,0,3299.050687,0,0,3685.647083,5056.867308,2311.905159,0,0,3177.269193,885.9446498,515.2762436
Li32152_S29_Metabat2_binout.108,Bacteroidota,Alistipes,0,2,2,0,1,0,2,0,0.29,Generlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.644409,267.1933176,340.0869955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.4452432,961.1147126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.2552482,0,182.2255094,0,336.5838978,0,0,0,0,938.4562494,0,0,0,210.5988159,0,0,0,421.7652719,0,0,0,0,2088.172402,0,0,690.2773071,0,379.5148381
Li32161_S38_Metabat2_binout.6,Bacteroidota,Alistipes,0,6,0,0,0,1,5,0,0.42,Generlist,291.2803357,503.1758546,194.0886153,0,0,0,0,2298.212618,0,149.5813592,0,0,0,0,816.2738253,40.53573836,40.99262892,66.90565366,210.054367,1050.309265,0,0,0,0,1430.412277,0,139.2183802,0,0,0,0,641.3323572,42.1145727,1011.051254,203.372219,845.9544276,0,0,0,3727.97401,2667.804282,0,385.6101575,0,0,0,0,94.18203556,0,0,0,0,0,0,0,0,27.05594431,0,0,0,29.03861079,0,0,0,0,0,111.3749097,0,0,246.360879,37.50947784,0,0,608.7615252,0,0,0,0,0,0,0,154.5025019,0,126.504946
Li32157_S34_Metabat2_binout.83,Firmicutes,AM51-8,1,3,3,1,0,3,5,0,0.29,Generlist,20.18774604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.81961834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.5315259,1219.729913,0,217.0848284,415.5641325,1747.874758,0,0,665.330267,0,0,167.3044315,0,233.8803992,398.1888098,0,98.02436351,1321.116334,396.6033369,0,0,147.0218149,0,0,275.9500666,0,348.022456,0,0,727.3576265,0,0,0,72.2672993,0,0
Li32204_S81_Metabat2_binout.103,Firmicutes,AM51-8,1,2,0,1,0,1,4,0,0.44,Generlist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860.374551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0605878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li32144_S21_Metabat2_binout.91,Firmicutes,Anaerobutyricum,0,0,0,2,0,3,2,0,0.29,Generlist,0,0,0,799.2969368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.3399965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444.673127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li32158_S35_Metabat2_binout.121,Firmicutes,Anaerobutyricum,0,0,0,2,0,0,1,0,0.33,Generlist,774.3442587,5517.216941,0,2205.688396,4847.586708,5920.990377,9599.922189,7321.398796,1926.163291,751.6463298,4269.667983,1003.918932,6906.57491,8506.773655,6622.424933,2229.180147,4972.254063,1625.807384,4898.326626,0,2056.209451,1979.508735,5092.874638,4362.011427,3793.648969,5019.946937,1158.746922,2504.975454,2669.172544,2397.560015,3961.222179,1762.583085,5246.272484,2522.706467,5547.447251,195.3307337,1147.522351,2728.746313,11272.91707,8487.378869,7285.1111,2509.542355,2188.707131,4770.65961,2021.609826,21288.77311,7739.267806,0,128.6974422,8591.537733,3317.057194,7928.644722,2322.488689,7908.965861,790.247249,6806.900088,3413.968246,3145.894899,4365.755692,3902.332744,0,92.22282172,4280.529705,3442.01685,1931.207266,1395.652884,8275.699081,4326.298028,4105.692609,2340.42835,4576.156297,12009.69751,1689.148893,0,1199.481976,8421.011029,2057.886245,4532.194875,0,5054.454138,2777.842008,3182.253145,6321.894085,6336.046504
Li32206_S83_Metabat2_binout.124,Firmicutes,Anaerobutyricum,1,0,0,5,0,1,1,1,0.11,Generlist,1103.116123,1066.591072,0,433.4495827,6866.979664,973.3134866,2527.233822,823.2055344,487.2774687,4573.450057,830.754286,2055.416959,2277.347842,3663.602357,1009.965919,549.2307085,4263.233407,1265.854967,979.6653251,0,354.802297,6136.871141,811.2543671,2900.311344,530.5973744,732.6130165,1466.714854,867.7192517,2396.43869,1123.020676,3298.35344,657.1855166,6651.094302,1618.525721,1367.208195,0,973.6138327,5319.852632,1550.657987,802.9102408,860.5036134,333.774673,2967.988983,1065.417397,1540.140077,4144.089691,3087.13585,0,676.9817387,1752.710185,2409.670767,1441.342291,1285.435924,2086.734769,6566.578331,1612.571551,423.0565838,669.9480611,1096.41567,1296.178147,13409.2385,825.2280871,1558.62477,3789.727542,2123.436861,359.7709074,1551.099352,10120.052,1075.852364,553.6497172,927.0199524,2047.024748,782.6947345,7643.642469,4979.909113,1818.012438,3132.400276,4583.507583,0,2992.909353,844.7599448,632.9618628,1422.684839,1538.115015
Li32143_S20_Metabat2_binout.59,Firmicutes,Anaeromassilibacillus,0,1,1,1,1,1,2,0,0.25,Generlist,186.0156599,0,0,742.2989795,585.7283186,674.4101165,0,0,0,403.8696698,0,623.2861613,0,1144.104777,0,48.24323791,0,587.4316391,0,0,1646.611433,998.2923946,467.7922691,0,0,319.8732889,0,0,734.1840217,0,1113.503189,0,0,639.8168577,0,0,1695.265717,471.7176536,0,0,0,0,0,0,502.5868441,0,826.0933175,0,0,0,0,0,0,441.9913182,0,799.1274673,0,0,0,0,0,0,0,0,0,0,0,0,664.0558952,0,229.0757397,0,0,0,0,0,0,0,0,0,684.4405392,0,170.7221807,0
Li32203_S80_Metabat2_binout.55,Firmicutes,Anaeromassilibacillus,0,0,1,0,1,0,1,0,0.33,Generlist,0,173.6311048,219.1748989,0,0,0,0,141.0876341,411.6887201,259.2743559,31.16545973,0,0,0,81.47365864,60.80360754,81.98525784,243.5365793,127.0917179,303.0265635,0,0,0,0,110.0317136,443.6952072,0,149.9270267,0,0,0,60.53024495,118.8232587,171.5552893,73.48744048,468.2192587,0,0,0,163.0525412,0,380.8632161,0,175.6464301,0,60.17555214,0,3423.255376,0,162.8912811,0,181.7454377,0,42.85976419,54.99889279,944.896647,220.1370015,36.95443042,0,0,0,0,62.57252725,0,236.7861248,0,71.98622211,77.45290587,565.8792536,157.6179817,137.9812935,0,0,0,0,0,0,103.9082324,0,76.05699204,448.5860291,133.3207073,60.78744312,160.4452974
Li32185_S62_Maxbin2out.027,Firmicutes,Anaerostipes,1,0,1,5,1,1,1,2,0.08,Generlist,1284.805837,0,18191.51661,7291.761939,14587.11372,7161.664666,5396.511477,1216.152085,2812.981288,2901.878368,5592.25218,11588.68188,11716.60959,20863.72201,6856.085237,650.5700544,1873.514966,719.9048334,2337.075478,26527.85034,4674.075048,11946.67017,5005.843518,4221.702428,592.9486788,2869.830919,18317.76384,3435.053735,7986.836391,6495.694196,21038.81416,788.3343806,3206.723892,1968.667254,2886.518302,16591.62232,17867.38859,5112.724483,5872.785384,1663.877068,3104.133091,1792.134551,5278.962749,4005.251444,6485.763559,32982.88875,24237.48927,344.0260466,2982.370856,5311.558896,4931.302659,3085.886078,2326.734555,12575.32269,6414.607706,4725.784746,1665.170391,2719.130832,13365.24577,3745.377041,8153.249949,5208.720045,4840.838244,9235.068378,8908.759686,7403.181445,11080.44528,25003.45772,2705.311902,7139.167406,948.4539397,41893.34491,6210.270187,9954.479379,18277.82059,2302.157055,6786.067774,18240.38464,2828.524435,740.5549225,3580.980569,2444.628297,1712.395206,8742.725966
Li32188_S65_Maxbin2out.019,Firmicutes,Anaerostipes,1,0,0,4,0,1,1,2,0.11,Generlist,474.4120319,0,2387.157935,735.67131,1635.864836,796.0743023,612.7609908,2464.952549,1195.921987,304.1487636,736.2839861,543.9876675,1398.153554,1944.361352,1168.30152,66.22740352,224.7003363,169.9403603,277.1305514,3425.15998,480.8324566,1330.618679,248.6603424,499.073783,910.8180736,3835.899844,2017.96339,541.3294414,449.816971,748.6804507,1998.781833,1112.60355,362.4861436,319.2053334,350.3471,2150.074326,1844.525784,558.5778448,492.8741768,4409.830092,4396.103912,6397.117073,583.1177992,506.4258387,267.4831943,4279.150375,2283.209616,0,324.9874449,7710.621684,497.9763445,383.684813,816.7984673,1605.90179,927.7444809,4849.428246,205.3792137,14905.74832,1402.677031,9423.378983,714.0858381,568.9151096,9828.153087,929.8868505,1068.083649,1084.007938,1461.456132,3207.380155,2873.030331,872.8592432,2900.286412,4644.779286,7777.33208,989.5787125,1959.950893,187.7295452,725.9365621,2033.266028,276.6150454,0,1874.503819,292.8071609,6791.380082,1064.492839
