Species	Li32124_S1d_metagenome	Li32125_S2d_metagenome	Li32126_S3d_metagenome	Li32127_S4d_metagenome	Li32128_S5d_metagenome	Li32129_S6d_metagenome	Li32130_S7d_metagenome	Li32131_S8d_metagenome	Li32132_S9d_metagenome	Li32133_S10d_metagenome	Li32134_S11d_metagenome	Li32135_S12d_metagenome	Li32136_S13d_metagenome	Li32137_S14d_metagenome	Li32138_S15d_metagenome	Li32139_S16d_metagenome	Li32140_S17d_metagenome	Li32141_S18d_metagenome	Li32142_S19d_metagenome	Li32143_S20d_metagenome	Li32144_S21d_metagenome	Li32145_S22d_metagenome	Li32146_S23d_metagenome	Li32147_S24d_metagenome	Li32148_S25d_metagenome	Li32149_S26d_metagenome	Li32150_S27d_metagenome	Li32151_S28d_metagenome	Li32152_S29d_metagenome	Li32153_S30d_metagenome	Li32154_S31d_metagenome	Li32155_S32d_metagenome	Li32156_S33d_metagenome	Li32157_S34d_metagenome	Li32158_S35d_metagenome	Li32159_S36d_metagenome	Li32160_S37d_metagenome	Li32161_S38d_metagenome	Li32162_S39d_metagenome	Li32163_S40d_metagenome	Li32164_S41d_metagenome	Li32165_S42d_metagenome	Li32166_S43d_metagenome	Li32167_S44d_metagenome	Li32168_S45d_metagenome	Li32169_S46d_metagenome	Li32170_S47d_metagenome	Li32171_S48d_metagenome	Li32172_S49d_metagenome	Li32173_S50d_metagenome	Li32174_S51d_metagenome	Li32175_S52d_metagenome	Li32176_S53d_metagenome	Li32177_S54d_metagenome	Li32178_S55d_metagenome	Li32179_S56d_metagenome	Li32180_S57d_metagenome	Li32181_S58d_metagenome	Li32182_S59d_metagenome	Li32183_S60d_metagenome	Li32184_S61d_metagenome	Li32185_S62d_metagenome	Li32186_S63d_metagenome	Li32187_S64d_metagenome	Li32188_S65d_metagenome	Li32189_S66d_metagenome	Li32190_S67d_metagenome	Li32191_S68d_metagenome	Li32192_S69d_metagenome	Li32193_S70d_metagenome	Li32194_S71d_metagenome	Li32195_S72d_metagenome	Li32196_S73d_metagenome	Li32197_S74d_metagenome	Li32198_S75d_metagenome	Li32199_S76d_metagenome	Li32200_S77d_metagenome	Li32201_S78d_metagenome	Li32202_S79d_metagenome	Li32203_S80d_metagenome	Li32204_S81d_metagenome	Li32205_S82d_metagenome	Li32206_S83d_metagenome	Li32207_S84d_metagenome
s__Roseburia_hominis	2.10314	0.50446	0.85965	0.07211	0.02696	0	0.02996	0.03225	0.10612	0	0	0	0	0	0.00262	0	0	0	0	0	0	0.28624	0.18356	0.21279	0.21825	0.10252	0.51055	0.24591	0.44034	0.244	0.59474	0.59078	0.38507	1.28454	1.3089	0	0	0.18758	0.20398	0.16284	0	1.08076	0.06253	0.07295	0.03802	0.06324	0.16488	0.29035	0.14139	0.17496	0.0408	0.03718	0.03201	0.37067	0.16909	0.13912	0.08004	0.04357	0.71484	0.06315	1.29859	0.36593	0.03965	0.08454	0.07587	4.16606	4.55585	0.30164	0	0	0	0.96593	0.03144	0.11109	0.00874	0.02863	0.4544	0.44276	0.07661	0	1.65677	0.31995	2.19086	1.39069
s__Oscillospiraceae_bacterium_CLA_AA_H250	1.80889	1.9554	8.44499	1.45869	3.2374	0.98132	0.70771	1.09148	1.67367	0	0.00447	0	4.5313	2.00644	0.62243	4.81029	2.38141	0.90398	0.09222	0.00992	0	0.46222	0.60239	1.15434	0.13634	0.24012	0.00294	1.64693	0.32466	0.58281	6.44617	1.50848	5.60992	0.47997	1.81407	0	0	1.91403	2.3339	1.57915	0	1.40093	3.31857	1.65079	0	0	0	4.23062	3.06247	0.81081	0.39847	0.17242	0.23749	1.50495	1.83392	0.49001	2.41952	0.5	0.30969	0.49556	0.78437	1.16415	0.37831	0.95777	0.40278	0.25644	0.27182	0.51719	0.95566	0.41875	0.93784	0.13231	0.09352	0.47531	0.11833	0.1487	0.12903	0.37286	1.77258	3.49821	1.53739	2.94045	1.99775	0.79104
s__Mediterraneibacter_faecis	1.73474	1.08569	2.35582	0.43439	0.48752	0	0.05871	0.05435	0.03406	1.4093	0.91712	1.84646	0.23815	0.48056	0.21006	0	0	0.00218	0.41988	0.17277	0.64369	0.33371	0.81594	0.6002	2.68569	1.70432	1.29126	0.26778	0.54197	0	0	0	0	1.96132	0.42145	0	0	0.25513	0.29258	0.22898	0.14614	0.99181	0.80062	0.27874	0	0	2.41938	0.8775	0.63441	1.21293	1.19421	2.04186	2.57682	0.20385	0.28351	0.15185	0.98008	0.04618	1.08412	0.89581	0.38439	0.32227	0.35726	0.44392	0.67509	1.50946	0.51967	2.75685	0	0	0	2.72244	0.04922	0.00575	2.92386	2.34128	0.35471	0.42777	0.16942	0	0	0.19973	0	0
s__Clostridiales_bacterium_KLE1615	1.72061	1.35112	1.76334	0.25853	0.27012	1.27737	0.01911	0.10318	0.10454	0	0	0	0.44202	0.61588	0.43644	0.66069	0.91155	0.51557	0.00978	0	0	0.34101	0.30069	0.61454	1.99904	1.72665	2.23646	0.17273	0.22478	0.3991	0.20913	0.25874	0.30594	0.36616	0.42351	0.34533	0.15504	0.34219	0.7183	0.48576	0.46364	0.43646	0.27463	0.22286	0.59814	0.41309	0.56195	0.54982	0.63285	0.73003	0.09486	0.0739	0	0.36804	0.48386	0.24834	0.60287	0.62722	0.30808	0	0	0.01611	0.54155	0.66912	0.72321	1.7109	1.06132	0.01513	0	0	0	0.18298	0.37861	0.20969	0.4052	0.71311	0.32147	0.10924	0.2817	0	0.08565	0.06544	0	0
s__GGB9512_SGB14909	1.69957	0.15058	1.28224	0.363	0.02034	0	0.17116	0.57049	0.27795	0	0.00037	0	0.722	0.32389	0.63286	0	0	0	0.00139	0	0	0	0	0	0.18566	0.34451	0.37207	0	0	0	0	1.66333	0.01785	0.32013	0.2991	0	0	0	0	0	0	0	0	0	0.60599	0.30756	1.88961	0	0	0	0.38618	0.58646	1.49555	0.02101	0.00531	0.02685	0.19043	0.63065	0.57848	0	0	0	0	0	0	0.62702	0.19816	0.19132	0.0662	0.02128	0.06837	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Coprococcus_comes	1.4915	1.67783	1.35139	1.27866	0.33754	0	0.22788	0.31263	0.19677	0	0.60886	0.69154	0	0	0	0	0	0.00294	0.01142	0	0	0	0	0	1.02273	0.71584	0.96364	0.26234	0.17929	0.05361	0	0	0	1.2303	0.67695	0	0	0.23665	0.30042	0.30642	0.3541	0.3817	0.49673	0.10646	0	0	0	0.23393	0.13492	0.52595	0.99511	1.84998	1.47877	0.19271	0.17932	0.12463	1.25876	1.20129	1.65349	0	0	0	1.05818	0.91326	1.06228	0.38262	0.07862	0.94168	1.12687	0.86656	0.88212	1.33382	2.28145	1.04712	0.88643	1.36389	0.37438	0.49895	0	0	0.49217	0.09995	0.30078	0.22933
s__Anaerobutyricum_soehngenii	1.42968	1.19331	2.41248	0.14348	0.26314	0	0.19815	0.24719	0.32692	0	0	0.05743	0.1699	0.61725	0.3587	0	0	0	0.02887	0.02055	0.14437	0.17663	0.43095	0.93854	1.66794	1.53057	1.18219	0.47739	0.04544	0	0	0	0	0.06981	0.01992	0	0	0.006	0.00595	0.00307	0.01062	0	0	0	1.5428	2.53612	0.49972	0.21033	0.1125	0.11069	1.04752	0.26724	0.66281	0.0127	0.01204	0.02206	0.04207	0.03242	0.07578	0.31876	0.46472	0.22245	0.01638	0.03429	0.08629	0.24811	0.10293	0.41129	0.43937	0.43073	0.38306	0.00337	0.02277	0.01357	0.16505	0.21305	0	0	0.3131	0	0.9193	1.49875	2.52769	1.3509
s__Faecalicatena_fissicatena	1.41501	0.92152	1.41164	1.69346	1.24135	1.91262	0	0	0	0	0	0	0	0	0	0	0	0	0.00179	0	0	0.00922	0.00991	0.22848	0	0	0	0.80626	0.15142	0	0	0	0	0	0	0.37569	0.27199	0.05407	0.25288	0.19311	0	0	0	0	0	0.24346	1.11883	0	0	0	0.08637	0.33144	0.0036	0.00629	0.13785	0	0.90954	0.82469	2.14568	0	0	0	0.0463	0.12702	0.17976	0.94418	0.28273	0.04518	0	0	0	0	0	0	0.75306	0.51903	0.33489	0.36281	0	0	0.07096	0	0	0
s__GGB9184_SGB14123	1.24247	0.00235	1.71561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88201	0.70294	0.92858	1.26107	0.86388	1.01402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44782	0.57802	0	0	0	0	0	0.02561
s__Collinsella_aerofaciens	1.17379	2.02313	1.75151	0.66474	0.52229	0.07794	0.91402	0.47645	0.6001	1.6239	0.93769	1.32506	0.52141	0.54689	0.27217	0.95609	1.06236	1.82539	0.00115	0	0	0	0	0	4.1282	1.83805	0.83288	0.40338	0.07403	0	0.71489	1.11593	2.18381	0.04374	0.44807	0	0	0	0	0	0	0.21603	0.87588	0.22852	1.57842	7.92913	1.59967	2.3298	1.4396	2.46349	6.29856	0.6196	11.53562	2.21587	0.80069	1.45528	1.50968	1.12853	2.37309	0	0	1.45693	0.01342	0.00329	0.01031	0.70119	0.34368	5.15957	1.39338	1.48708	1.90532	0	0	0	1.35472	1.12564	0	0	1.27909	4.2536	3.17781	2.04935	0	0
s__Anaerotignum_lactatifermentans	1.06482	0.10728	0.78276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04909	0.02042	0.01143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14109	0.29678	0.11184	0	0.69596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23887	0	0	0	0	0.07019	0.00071	0.25531	0.03252	0	0	0	0
s__Bacteroides_caccae	1.02643	2.06597	0.83491	0.11602	2.793	0.79655	20.83259	0.32932	0.50012	4.25871	3.46352	3.82811	1.35456	3.14365	1.07102	0.09739	0.15234	0.35221	0.00099	0	0	0	0	0	0.10164	0	0	0.10152	0.21495	0.04524	0.74783	2.03351	0.02663	0.01206	0.11758	0	0	1.13513	0.19217	0.56397	0.64758	0	0	0	0	0	0	0.0682	0.1344	0.00792	0	0	0	0.21064	2.03088	0.31349	1.41674	0.25897	0.24964	0	0.03997	1.4641	0.00502	0.30802	0.1732	0	0	0	0	0	0	0	0	0	0.17539	0.16917	0.4909	0.6666	0.64905	0.24724	0.10273	0.14033	0	0
s__Dorea_longicatena	0.98253	1.01292	1.62056	2.16504	0.77262	2.75485	0.34235	0.39344	0.82255	0	0	0	1.36748	1.12027	0.82825	1.94545	3.76379	1.96648	0.01415	0	0	0.27601	0.21729	0.40043	0.92244	0.91033	0.53143	0.96822	0.51048	1.00467	1.13472	1.1518	1.79661	1.37511	0.98168	0.88224	0.2714	1.34767	2.03485	2.04045	1.42019	1.19759	1.37192	1.06113	0	0	0	1.04952	0.66396	2.16521	1.44987	2.3739	0.88142	0.61369	0.39659	0.3756	1.45512	1.55334	2.1977	1.05671	1.59513	0.56343	0.72582	0.5923	0.74985	1.55927	0.45183	3.10168	1.14293	1.65412	1.39779	0.27063	1.7203	0.92854	1.74921	1.91503	0.34008	0.40836	1.22586	0	1.06155	0.01665	0.79873	0.46407
s__Clostridiaceae_bacterium	0.93809	0.32979	3.08408	0.17069	0.27357	0	0.00531	0.04462	0.07393	0.00843	0.37117	0.24144	0.38463	0.63743	0.22028	0.22414	0.07645	0.1532	0.32257	0.02318	0.01854	0.37634	0.41116	0.09471	1.62421	0.69272	0.72272	0.50104	0.11326	1.40843	0.9086	0.42149	0.10287	0.78284	0.61409	0.52493	0	0.0571	0.06436	0.06437	0.0751	0.47221	0.34054	0.09853	0.08756	0.10954	0.58875	0.20185	0.20995	0.04975	0.00533	0	0.02519	0.16609	0.25145	0.21399	0.36374	0.59867	0.36839	0.15901	0.73666	0.13034	0.29085	0.68915	0.36786	1.06474	0.74833	0.21579	0.02544	0.09456	0.00918	0.75854	0.41104	0.3548	0.45407	0.67388	0.68568	0.46549	0.14371	0	0.27208	0.0158	0.15052	0.31619
s__Vescimonas_coprocola	0.88018	0.11943	0.15495	0.43039	0.3028	0.39729	0.06205	0.07917	0.02023	0	0	0	1.44308	1.39818	2.2936	0	0	0	0	0	0	0	0	0	0.14428	0.11294	0.1043	0.05169	0.11214	0	0.02122	0.59732	0.18895	0.04275	0.0684	0	0	0.25064	0.26434	0.38876	1.14997	0	0	0	0	0	0	0.67079	1.08876	3.80283	3.17234	0	0	0.07379	0.21698	0.37691	0.04259	0.06396	0.04672	0.0595	0.13136	0.04215	0.00666	0.01953	0.01792	0.01908	0.02548	0.02235	0.44814	0.05856	0.72628	0.00388	0.00108	0.06375	0.27291	0.24242	0	0	0.45535	0.66821	0.36704	0.27445	0	0
s__Parasutterella_SGB9260	0.74074	0.42579	0.08788	0	0	0	0	0.05025	0.08031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0.43419	1.0376	3.31473	0	0	0	0.00214	0.00277	0	0	0.63299	0.03349	0	0	0	0	0	0	0	0	0	0.03979	0.36303	0.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB4602_SGB6365	0.7242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00853	0.00051	0	0	0	0	0.00027	0.00725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30415	0.00336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Blautia_faecis	0.68654	0.72433	0.89766	0.89393	0.20159	1.78985	0.11658	0.11683	0.12922	1.01885	1.37609	1.29186	0.35685	0.62523	0.21684	1.41043	1.77953	0.77178	0.15583	0.22094	0.11861	0.66456	0.08692	0.31972	2.76993	2.02183	3.4974	0.44885	0.23811	0.11875	0.45002	0.72248	1.97891	1.22432	0.77496	0.57448	0.12854	0.29678	0.63041	0.12116	0.65596	0.58105	0.85581	0.22975	0.63173	0.17273	0.76567	0.79797	0.7248	0.31112	0.36936	0.15682	0.25578	0.17521	0.06473	0.18239	0.39436	0.47765	0.4854	0.22339	0.72251	0.16635	0.31184	0.35976	0.32551	0.59292	0.45846	0.51118	2.36778	4.04112	1.57547	0.42518	0.63873	0.60951	0.84091	0.31549	0.24766	0.05186	0.29402	0.94606	1.5576	1.41274	3.13639	1.65111
s__Eubacterium_ramulus	0.66447	0.56162	0.36754	0.17416	0.13677	0.98636	0.03455	0.03007	0.14703	0	0.697	0.56251	0	0	0	0	0	0.00248	0.00757	0	0	0	0	0	0.95537	0.63482	0.71324	0.25451	0.14926	0	0.08173	0.1202	0.43894	0.82748	0.41281	0.15796	0.16395	0.05959	0.17258	0.08954	0.03386	0	0	0	0	0	0	0.05527	0.04486	0.03347	0.26738	0.56857	0.2453	0.19259	0.10514	0.06661	0.59707	0.3467	1.19875	0.03628	0.06495	0.26627	0.15863	0.18271	0.2296	0.69167	0.48865	0.24771	0	0	0	0.14952	0.51115	0.04518	0.56552	0.7917	0	0	0	0	0.05215	0	0.45939	0.30513
s__GGB9730_SGB15291	0.63446	0.1057	0.25969	0	0	0	0.00471	0.02855	0.02348	0	0	0	0.23364	0.48686	0.07162	0	0	0	0.00258	0	0	0.04271	0.06035	0.14631	0.08983	0.79	0.02981	0.61117	0.0334	0	0	0	0	0.47951	0.2097	0	0	0.25405	0.57804	0.43694	0.53177	0.29	0.19559	0.15916	0	0	0	0.10113	0.07336	0.07311	0	0	0	0.19337	0.27435	0.09015	0.29934	0.14863	0.21436	0.58016	0.45666	0.65739	0.21917	0.25395	0.19969	0.29476	0.07771	0.02123	0	0	0	0.07908	0.40818	0.96607	0.68739	0.10994	0.03136	0.03054	0	0	0	0	0	0
s__Roseburia_lenta	0.62625	0.37151	0.15794	0.26299	0.08165	0	0.00041	0.00453	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04314	0.01234	0.14106	0	0	0	0.2009	0.6361	0	0	0	0	0.39992	0.08137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15525	0.01663	0.01032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05033	0.14754	0	0	0	0	0	0	0	0
s__Clostridiales_bacterium	0.61047	0.21544	0.26858	0.01789	0.03117	0.00601	0.00735	0.14916	0.09891	0.74492	0.74927	0.90528	1.1704	0.28302	0.87314	0.08111	0.26202	0.00841	0.18387	0.49481	0.12164	0.02101	0.01242	0.00507	0.03303	0.33838	0.1256	0	0.01249	0.01734	0.20226	0.23809	0.00286	0.06696	0.16012	0.75091	0.81618	0.02786	0.00857	0.0137	0	0.47144	0.94627	0.62569	0	0.00054	0	0.00284	0.03001	0.00463	0.82818	0.48325	0.6482	0.00931	0.00674	0.02118	0.01505	0.01421	0	0.23153	0.05515	0.40116	0	0.00218	0	0	0.02729	0	0.76156	0.65178	0.73084	0.56285	0.36625	0.3787	0.00087	0.00988	0.06258	0.10488	0.44271	0.00096	0.01812	0.03326	0.01007	0.12571
s__GGB3740_SGB5077	0.60642	0.39397	0.05514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11586	0.09742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0406	0.11625	0	0	0.31234	0	0	0	0	0
