# Pathway	Li32124_S1_paired_Abundance-CPM	Li32125_S2_paired_Abundance-CPM	Li32126_S3_paired_Abundance-CPM	Li32127_S4_paired_Abundance-CPM	Li32128_S5_paired_Abundance-CPM	Li32129_S6_paired_Abundance-CPM	Li32130_S7_paired_Abundance-CPM	Li32131_S8_paired_Abundance-CPM	Li32132_S9_paired_Abundance-CPM	Li32133_S10_paired_Abundance-CPM	Li32134_S11_paired_Abundance-CPM	Li32135_S12_paired_Abundance-CPM	Li32136_S13_paired_Abundance-CPM	Li32137_S14_paired_Abundance-CPM	Li32138_S15_paired_Abundance-CPM	Li32139_S16_paired_Abundance-CPM	Li32140_S17_paired_Abundance-CPM	Li32141_S18_paired_Abundance-CPM	Li32142_S19_paired_Abundance-CPM	Li32143_S20_paired_Abundance-CPM	Li32144_S21_paired_Abundance-CPM	Li32145_S22_paired_Abundance-CPM	Li32146_S23_paired_Abundance-CPM	Li32147_S24_paired_Abundance-CPM	Li32148_S25_paired_Abundance-CPM	Li32149_S26_paired_Abundance-CPM	Li32150_S27_paired_Abundance-CPM	Li32151_S28_paired_Abundance-CPM	Li32152_S29_paired_Abundance-CPM	Li32153_S30_paired_Abundance-CPM	Li32154_S31_paired_Abundance-CPM	Li32155_S32_paired_Abundance-CPM	Li32156_S33_paired_Abundance-CPM	Li32157_S34_paired_Abundance-CPM	Li32158_S35_paired_Abundance-CPM	Li32159_S36_paired_Abundance-CPM	Li32160_S37_paired_Abundance-CPM	Li32161_S38_paired_Abundance-CPM	Li32162_S39_paired_Abundance-CPM	Li32163_S40_paired_Abundance-CPM	Li32164_S41_paired_Abundance-CPM	Li32165_S42_paired_Abundance-CPM	Li32166_S43_paired_Abundance-CPM	Li32167_S44_paired_Abundance-CPM	Li32168_S45_paired_Abundance-CPM	Li32169_S46_paired_Abundance-CPM	Li32170_S47_paired_Abundance-CPM	Li32171_S48_paired_Abundance-CPM	Li32172_S49_paired_Abundance-CPM	Li32173_S50_paired_Abundance-CPM	Li32174_S51_paired_Abundance-CPM	Li32175_S52_paired_Abundance-CPM	Li32176_S53_paired_Abundance-CPM	Li32177_S54_paired_Abundance-CPM	Li32178_S55_paired_Abundance-CPM	Li32179_S56_paired_Abundance-CPM	Li32180_S57_paired_Abundance-CPM	Li32181_S58_paired_Abundance-CPM	Li32182_S59_paired_Abundance-CPM	Li32183_S60_paired_Abundance-CPM	Li32184_S61_paired_Abundance-CPM	Li32185_S62_paired_Abundance-CPM	Li32186_S63_paired_Abundance-CPM	Li32187_S64_paired_Abundance-CPM	Li32188_S65_paired_Abundance-CPM	Li32189_S66_paired_Abundance-CPM	Li32190_S67_paired_Abundance-CPM	Li32191_S68_paired_Abundance-CPM	Li32192_S69_paired_Abundance-CPM	Li32193_S70_paired_Abundance-CPM	Li32194_S71_paired_Abundance-CPM	Li32195_S72_paired_Abundance-CPM	Li32196_S73_paired_Abundance-CPM	Li32197_S74_paired_Abundance-CPM	Li32198_S75_paired_Abundance-CPM	Li32199_S76_paired_Abundance-CPM	Li32200_S77_paired_Abundance-CPM	Li32201_S78_paired_Abundance-CPM	Li32202_S79_paired_Abundance-CPM	Li32203_S80_paired_Abundance-CPM	Li32204_S81_paired_Abundance-CPM	Li32205_S82_paired_Abundance-CPM	Li32206_S83_paired_Abundance-CPM	Li32207_S84_paired_Abundance-CPM
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	542.59	536.706	643.582	607.183	428.36	569.997	395.763	333.588	375.878	355.091	367.432	384.127	372.113	429.273	411.609	664.892	536.416	535.011	509.397	422.83	455.874	444.961	433.431	468.167	585.122	590.773	571.802	617.775	487.007	544.402	440.742	407.442	688.92	629.663	639.078	360.881	288.65	545.352	737.907	520.485	564.912	442.028	627.218	491.333	499.639	550.835	493.977	626.664	545.715	428.218	575.695	483.747	476.793	611.981	513.849	509.528	543.606	676.384	808.144	416.96	616.411	466.057	841.7	574.871	678.707	548.352	349.998	636.942	490.005	564.027	597.144	442.893	557.162	458.182	580.638	664.001	400.782	416.681	570.893	662.947	395.086	386.579	704.489	667.021
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	552.309	545.592	665.072	629.302	427.372	583.231	447.21	335.788	364.253	347.282	369.702	387.11	366.205	423.016	412.12	672.667	524.983	528.282	542.458	441.071	484.401	451.684	435.658	476.273	604.616	613.911	601.407	635.418	498.69	564.149	445.926	408.25	731.666	660.891	660.193	344.623	255.013	551.773	765.719	514.044	566.417	444.795	650.512	500.369	508.657	563.315	511.463	641.38	558.944	422.74	592.759	492.933	487.542	637.554	523.609	523.081	564.16	696.189	839.776	407.776	620.033	448.961	892.943	596.523	708.531	563.02	355.069	691.015	492.102	568.492	608.348	442.631	576.536	462.887	598.879	697.302	402.23	427.727	590.945	699.247	408.587	391.37	735.968	662.985
ARO-PWY: chorismate biosynthesis I	612.241	613.243	684.631	681.222	551.871	642.51	522.079	400.204	422.867	485.317	492.641	496.339	474.731	507.197	495.341	792.412	680.705	671.404	391.402	348.025	405.76	558.523	543.012	567.875	599.351	618.228	625.075	665.752	580.443	598.372	507.68	489.687	747.166	728.75	721.918	470.696	464.656	666.885	782.732	626.855	629.703	474.571	655.247	537.58	573.03	676.504	642.541	688.49	612.887	528.47	647.422	597.446	563.503	621.241	625.957	543.809	634.267	737.418	869.754	509.562	608.923	525.658	913.965	638.507	735.682	641.737	468.314	707.939	569.149	639.869	649.762	557.571	651.12	558.975	652.027	734.618	539.828	533.515	659.473	658.803	403.789	429.733	726.486	681.282
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	284.398	293.409	342.35	202.323	226.509	153.673	126.388	208.024	169.453	266.864	294.151	275.336	265.577	243.039	240.247	226.475	226.734	243.855	77.0817	110.939	108.015	135.039	198.463	182.639	188.771	190.352	186.646	135.371	182.379	141.5	223.369	240.153	209.416	220.799	216.658	275.799	266.836	192.978	186.182	239.114	200.651	244.107	228.445	283.933	266.618	272.503	228.16	193.171	191.435	207.14	213.132	283.876	282.632	189.32	193.183	188.164	205.346	187.294	195.376	278.845	123.477	175.007	155.896	199.227	156.479	208.691	243.659	254.88	257.424	258.758	228.81	281.11	261.542	241.721	174.836	184.072	286.085	249.647	182.354	261.147	305.229	265.157	140.346	150.525
AST-PWY: L-arginine degradation II (AST pathway)	0	0.292411	0	0	1.08181	0	4.28942	27.3611	48.1563	0	0	0	0	0	0	1.6788	3.55793	4.35174	0	6.96808	0	0	0	0	0	0	0	0	0	0	2.63363	0	0	0	0	0.613023	0	0	4.30485	0	0	0.762487	1.53621	1.49535	11.2093	2.75067	6.6255	3.02809	0.667667	0	0	2.29548	2.91005	0	0.313986	0.132583	0	0	1.05036	0	0	0	0	0	0	0.678843	0	6.1829	0.171706	0	0	2.31809	0	0	0	0	0	0	6.78625	5.93817	109.351	109.085	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	100.865	106.211	27.925	67.794	157.644	53.8975	148.091	169.743	199.408	191.326	183.144	188.194	181.504	162.243	141.513	148.906	150.946	170.307	10.2908	108.947	27.7605	111.024	92.5799	67.2616	36.6306	39.2721	36.7888	19.1999	33.7285	38.0927	133.947	165.108	29.046	12.5065	30.8209	51.3321	101.514	134.809	69.5033	54.423	72.9934	77.1103	95.025	114.856	144.787	133.791	87.4761	129.453	135.519	138.189	33.247	140.234	132.761	77.0097	52.8408	48.4712	43.3587	25.2245	33.7841	183.272	123.566	173.389	23.9131	99.2161	74.3273	78.8278	204.541	38.8093	72.7948	65.8237	88.4886	47.4945	30.3293	74.8249	46.0036	52.1517	106.385	91.216	145.841	133.671	204.922	187.711	23.8404	106.029
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	573.583	574.661	637.784	602.477	559.823	575.816	588.822	362.918	376.098	486.657	465.273	477.156	426.805	423.646	422.71	787.722	660.902	647.155	463.679	443.357	458.658	466.732	491.851	481.915	558.182	575.554	585.617	573.378	540.537	538.168	491.189	459.302	685.056	657.325	676.747	501.936	503.707	612.937	708.679	609.23	627.525	507.122	519.442	490.903	473.515	576.472	510.052	654.564	582.541	485.858	595.57	556.92	538.551	543.869	504.416	481.142	519.493	581.837	671.94	488.362	488.875	462.941	956.342	515.417	604.448	525.367	390.977	632.463	481.609	524.501	601.874	449.317	554.081	479.235	552.236	605.056	494.987	463.824	668.493	681.978	435.398	382.413	643.484	565.013
CALVIN-PWY: Calvin-Benson-Bassham cycle	555.015	601.015	678.897	582.773	378.934	543.201	470.133	424.701	386.927	448.385	452.151	478.791	368.589	393.064	401.264	607.808	578.026	551.382	493.903	387.592	440.406	471.464	450.422	504.786	596.5	592.596	586.066	603.921	510.65	432.712	485.541	459.392	678.864	706.894	648.451	458.599	332.822	482.026	598.363	519.938	479.837	410.018	514.358	394.304	518.495	616.035	529.553	527.592	461.392	425.535	547.904	545.772	526.642	521.711	500.196	485.187	514.934	592.532	665.986	445.818	468.394	439.951	668.834	507.467	616.18	556.826	389.881	737.987	510.667	561.929	603.814	462.463	612.787	466.357	589.808	640.094	407.425	437.793	498.58	520.778	475.552	451.574	612.713	533.092
CARNMET-PWY: L-carnitine degradation I	0	0	0	0	0.146402	0	0.863361	0	0	0	0	0	0	0	0	0.0937875	0.72713	0.89856	0	0.410819	0	0	0	0	0	0	0	0	0	0	0.382939	0	0	0	0	0	0	0	0.190888	0	0	0.226458	0.341014	0.556694	3.9114	0.767199	0.975104	0.431649	0	0	0	0.0840854	0.575168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19651	0	0	0	0.0698066	0	0	0	0	0	0	1.6997	0.67508	22.8357	4.95611	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0.609398	0.612247	0.0782238	0	24.76	0	0	0.745636	0	0	0	0	0	0	0	0.222646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451001	0	0	0	0	0	0	0	0	0.169499	0.992372	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177946	0	0	0.218661	0	0.229155	0	0.187035	0.184769	0	0.170415	0	0	0	0	0	0	0	0.206322	0	2.38812	12.7665	41.8003	0.264492	0
CENTFERM-PWY: pyruvate fermentation to butanoate	101.337	92.1328	72.045	40.8093	29.2648	14.5227	17.4852	18.3002	16.3123	18.175	17.0362	22.3983	35.0144	43.2816	38.4521	27.7025	48.5125	35.6347	48.4357	64.2464	62.7026	27.9917	42.5879	40.9647	34.2064	36.548	26.2542	51.1114	39.8421	20.7615	10.1043	14.4955	16.8462	44.9308	31.2317	15.5285	11.0461	23.5141	46.9787	25.4155	42.4317	32.3511	42.2881	25.3232	13.8489	19.4406	35.8129	68.4378	42.3643	47.1797	52.1609	50.1542	50.7709	42.0693	32.1825	33.7983	56.0783	50.3271	90.3633	25.9645	17.0184	19.7286	39.992	49.7039	48.6773	42.9796	9.73395	21.952	61.2803	50.5157	71.5177	35.0185	47.9931	33.4545	55.7069	63.9925	41.6745	32.2878	21.3435	13.7567	17.1258	14.6782	15.8253	15.5887
CITRULBIO-PWY: L-citrulline biosynthesis	146.386	124.866	56.2707	55.5694	89.2501	78.5971	75.5592	101.083	89.2599	116.185	149.188	153.644	128.347	212.389	255.737	62.223	98.9184	90.3822	43.3278	101.55	41.0401	170.229	160.267	130.362	21.9023	26.8078	25.7496	57.5104	85.3413	79.0474	134.362	181.483	17.9094	24.4347	118.138	231.114	195.052	172.158	40.5196	80.0318	82.6666	67.2661	84.0689	121.021	165.382	116.501	106.66	169.63	227.18	239.343	34.016	178.792	149.511	64.143	204.469	121.248	87.3749	47.0335	36.131	289.519	199.236	254.956	14.8929	159.039	74.0712	73.2219	73.6761	27.3128	208.234	185.748	124.967	234.686	125.963	189.219	65.9411	60.6174	222.527	180.519	121.005	26.2256	174.156	96.2361	29.5882	215.773
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	559.665	570.419	571.494	548.718	522.346	521.977	388.775	360.522	365.75	465.615	460.577	474.121	453.844	471.972	462.586	661.498	608.237	605.265	302.407	277.879	349.851	443.007	471.283	476.251	487.493	470.608	454.458	568.082	527.076	548.609	455.728	455.803	596.147	566.258	587.919	480.705	485.465	540.181	612.833	525.979	520.321	388.627	538.46	507.046	480.761	593.809	560.545	612.758	545.805	522.883	575.492	568.797	544.934	520.837	589.522	473.431	546.569	630.691	728.165	499.545	551.925	533.582	794.307	565.423	623.301	540.083	425.045	580.428	497.479	542.541	568.47	517.977	544.853	514.742	577.295	610.75	513.849	498.014	553.526	458.261	317.716	294.863	511.122	557.409
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	515.614	535.502	534.586	533.96	494.267	484.575	495.671	347.436	348.091	453.159	440.168	455.708	431.815	446.334	441.17	619.138	571.872	568.988	306.462	285.878	365.539	441.007	464.001	453.453	461.263	463.75	488.174	532.574	500.405	525.577	430.284	433.167	559.626	533.928	562.589	480.152	478.623	524.138	596.267	532.086	514.748	363.584	492.825	470.613	454.283	545.596	522.205	569.788	512.316	492.268	546.211	537.762	513.897	483.224	555.057	446.31	505.625	583.653	672.512	492.445	510.929	506.589	741.664	529.922	581.339	506.539	409.058	540.519	463.933	504.686	529.473	489.121	519.141	495.495	534.595	568.096	483.826	476.014	524.574	538.632	299.405	274.612	504.577	542.143
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	268.22	302.283	334.861	260.372	181.711	354.252	104.333	187.347	113.896	251.162	279.819	264.764	238.657	234.163	229.59	256.542	238.841	247.309	54.9307	46.4474	52.6007	140.259	120.058	167.708	283.753	243.9	282.538	241.245	191.402	214.565	205.6	200.516	350.097	330.36	277.59	206.084	90.9694	184.365	252.053	175.446	182.174	139.46	206.079	162.726	277.725	329.149	276.842	275.71	236.003	229.42	238	241.434	276.227	210.59	225.088	220.671	296.014	312.418	402.882	221.845	198.656	198.11	287.459	243.555	299.645	272.174	197.336	371.258	311.774	351.952	354.411	259.153	284.77	245.319	308.099	343.377	207.901	193.938	210.668	274.154	229.918	239.495	271.075	232.32
COLANSYN-PWY: colanic acid building blocks biosynthesis	151.553	142.096	110.099	188.002	153.373	127.938	204.276	122.565	148.395	264.856	256.709	217.753	202.36	212.315	179.259	180.22	181.966	200.046	75.0445	103.245	96.092	129.375	123.966	160.907	124.988	170.575	174.326	146.965	128.894	160.201	185.002	171.374	150.008	111.406	124.563	162.696	172.086	132.938	140.118	124.446	128.123	147.345	180.28	173.969	167.634	172.221	187.517	175.227	162.806	174.15	161.712	193.099	158.357	150.728	156.541	166.633	200.98	202.559	177.364	216.833	171.399	158.348	117.801	180.148	181.166	187.963	163.852	78.8486	179.075	165.584	148.063	171.75	112.721	149.933	161.586	142.864	172.248	183.976	135.498	79.5585	228.655	110.338	128.796	154.548
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	625.482	638.414	693.657	717.751	576.052	673.046	541.422	422.468	444.449	507.915	515.918	524.28	499.057	532.588	521.508	822.414	711.929	704.953	419.749	372.667	430.696	584.89	566.154	596.625	627.39	648.642	654.669	691.489	607.211	599.085	539.66	509.048	774.504	741.77	755.327	491.591	453.259	660.004	777.508	613.061	618.185	496.55	671.287	558.938	591.186	699.483	655.395	683.873	626.575	544.755	675.247	624.831	588.934	655.919	660.452	577.719	656.043	759.412	874.975	530.362	608.314	548.018	919.329	665.432	766.694	657.124	491.283	740.486	588.432	651.466	672.168	574.423	680.091	586.12	671.527	746.44	562.933	554.421	660.122	676.663	416.14	444.919	749.097	701.548
CRNFORCAT-PWY: creatinine degradation I	0	0.299807	0	0	0.345168	1.27213	1.55216	4.64797	1.48371	0	0.319397	1.02704	1.72704	0	0	0	0.312102	0.49819	1.0109	1.07746	1.16322	1.06725	0	0.318305	0.431533	0	0	0	0	2.01287	0	0	0	0.715895	0	0	0	0.972864	1.17375	1.82973	1.32325	0	0	0	0	0.816372	0	0	0	0.478244	0.558879	0.333857	0.507103	0.81772	0	0	3.75728	3.43088	9.74038	0	0.421217	0.703099	2.07695	1.89983	2.50367	4.33322	3.9295	3.08	2.87426	2.2471	3.36013	0	0.849092	1.17754	0.866718	2.21513	0	0	0	0	0	0	0.940369	0.806048
DAPLYSINESYN-PWY: L-lysine biosynthesis I	101.518	118.358	135.02	86.5012	235.298	5.83923	42.3178	139.837	176.925	87.7105	47.6371	80.1041	71.4055	67.3571	66.976	375.316	246.387	235.991	55.8899	60.9104	92.4884	45.3079	101.716	102.193	74.8686	66.3022	24.2262	40.3988	59.0949	38.8381	79.1503	68.3896	190.736	62.8501	63.5767	83.1601	148.773	247.224	251.474	95.3732	239.605	20.346	58.1955	58.2168	78.7053	170.113	42.2098	246.585	193.53	92.6342	119.273	143.636	146.607	94.1037	88.3733	59.14	63.1366	32.394	75.3941	42.7982	40.2576	27.692	559.814	133.411	165.419	47.1644	24.0893	141.794	78.9124	81.6788	108.156	60.5757	128.557	28.2908	123.728	182.218	32.5555	7.3576	312.607	278.161	246.743	241.012	50.7566	63.989
DARABCATK12-PWY: D-arabinose degradation I	0	0.0446332	0	0	1.08445	0	1.2304	0	45.6513	0	0.323993	0	0	0	0	0.408255	1.08872	0.794713	0.611746	0.939081	2.66411	0	0	0	0.303996	0	0	0	0	0	0.195143	0	0	0	0	0.247562	0	0	1.10034	0	0	0.448915	0.517508	0.380354	2.92909	0.185929	0.523166	0.136705	0.114167	0	0.345828	0.364417	3.70709	0	0.072989	0.0416377	0	0	0.0739609	0	0	0	0	0	0	0.0943624	0.0611158	0.932684	0.0826856	0.416037	0	0.112586	0	0.504298	0	0	0	0	1.49656	11.4353	33.2299	11.6775	0	0
